component_id,category,brand,model,year,price,value_metric,metric_label
asus ko oc v2 | GeForce RTX 3060 12GB,GPU,asus,asus ko oc v2,2023,609.18,50.76499999999999,$/GB VRAM
asus ko oc v2 | GeForce RTX 3060 12GB,GPU,asus,asus ko oc v2,2025,695.0,57.916666666666664,$/GB VRAM
asus ko oc | GeForce RTX 3060 Ti,GPU,asus,asus ko oc,2023,399.0,49.875,$/GB VRAM
asus lp brk oc | GeForce RTX 3050 6GB,GPU,asus,asus lp brk oc,2023,199.99,33.33166666666667,$/GB VRAM
asus lp brk oc | GeForce RTX 4060,GPU,asus,asus lp brk oc,2023,339.99,42.49875,$/GB VRAM
asus lp brk oc | GeForce RTX 4060,GPU,asus,asus lp brk oc,2025,449.0,56.125,$/GB VRAM
asus noctua oc | GeForce RTX 4080,GPU,asus,asus noctua oc,2023,1999.99,124.999375,$/GB VRAM
asus noctua oc | GeForce RTX 4080 SUPER,GPU,asus,asus noctua oc,2023,1349.99,84.374375,$/GB VRAM
asus phoenix evo oc | GeForce GTX 1650 G6,GPU,asus,asus phoenix evo oc,2025,325.0,81.25,$/GB VRAM
asus phoenix evo | Radeon RX 550 - 512,GPU,asus,asus phoenix evo,2025,326.95,81.7375,$/GB VRAM
asus phoenix fan oc | GeForce GT 1030,GPU,asus,asus phoenix fan oc,2023,124.29,62.145,$/GB VRAM
asus phoenix geforce rtx 3060 v2 | GeForce RTX 3060 12GB,GPU,asus,asus phoenix geforce rtx 3060 v2,2025,299.99,24.999166666666667,$/GB VRAM
asus phoenix oc v2 | GeForce GTX 1650 G6,GPU,asus,asus phoenix oc v2,2023,150.0,37.5,$/GB VRAM
asus phoenix oc | GeForce GTX 1650 G5,GPU,asus,asus phoenix oc,2023,282.61,70.6525,$/GB VRAM
asus phoenix oc | GeForce GTX 1650 G6,GPU,asus,asus phoenix oc,2023,212.71,53.1775,$/GB VRAM
asus phoenix oc | GeForce GTX 1660 SUPER,GPU,asus,asus phoenix oc,2023,243.0,40.5,$/GB VRAM
asus phoenix oc | GeForce GTX 1660 SUPER,GPU,asus,asus phoenix oc,2025,289.0,48.166666666666664,$/GB VRAM
asus phoenix | GeForce GTX 1050 Ti,GPU,asus,asus phoenix,2023,294.95,73.7375,$/GB VRAM
asus phoenix | GeForce RTX 3050 8GB,GPU,asus,asus phoenix,2023,229.99,28.74875,$/GB VRAM
asus phoenix | GeForce RTX 3050 8GB,GPU,asus,asus phoenix,2025,299.99,37.49875,$/GB VRAM
asus phoenix | GeForce RTX 3060 12GB,GPU,asus,asus phoenix,2023,349.9,29.15833333333333,$/GB VRAM
asus phoenix | Radeon RX 550 - 512,GPU,asus,asus phoenix,2023,108.12,54.06,$/GB VRAM
asus phoenix | Radeon RX 6400,GPU,asus,asus phoenix,2023,154.71,38.6775,$/GB VRAM
asus prime oc | GeForce RTX 4070 SUPER,GPU,asus,asus prime oc,2025,899.97,74.9975,$/GB VRAM
asus prime oc | GeForce RTX 4070 Ti SUPER,GPU,asus,asus prime oc,2025,1129.0,70.5625,$/GB VRAM
